"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.url","Input.pinner_avatar","Input.board_id","Input.pin_url","Input.pin_no","Input.index","Input.batch","Answer.Q01Answer0","Answer.Q02Answer0","Answer.Q03Answer0","Answer.Q10Answerb","Answer.Q11Answer_other_a","Answer.Q11Answer_other_b","Answer.Q11Answer_other_c","Answer.Q11Answera","Answer.Q11Answerb","Answer.Q11Answerc","Answer.Q12Answera","Answer.Q12Answerb","Answer.Q12Answerc","Answer.Q13Answer_other_a","Answer.Q13Answer_other_b","Answer.Q13Answer_other_c","Answer.Q13Answera","Answer.Q13Answerb","Answer.Q13Answerc","Answer.Q14Answera","Answer.Q14Answerb","Answer.Q14Answerc","Answer.Q15Answerb","Answer.Q16Answerb","Answer.Q16Answerc","Answer.Q17Answerb","Answer.Q17Answerc","Answer.Q18Answerb","Answer.Q18Answerc","Answer.Q19Answerb","Answer.Q1Answera","Answer.Q1Answerb","Answer.Q1Answerc","Answer.Q20Answerb","Answer.Q20Answerc","Answer.Q21Answerb","Answer.Q21Answerc","Answer.Q22Answerc","Answer.Q23Answerc","Answer.Q24Answerc","Answer.Q25Answerb","Answer.Q26Answerb","Answer.Q2Answerb","Answer.Q2Answerc","Answer.Q3Answerb","Answer.Q4Answerb","Answer.Q5Answerb","Answer.Q5Answerc","Answer.Q6Answerb","Answer.Q6Answerc","Answer.Q7Answerb","Answer.Q8Answerb","Answer.Q8Answerc","Answer.Q9Answerb","Approve","Reject"
"37NXA7GVST668SCNS7S15IH48QGLVY","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3YMTUJH0DSGYKCZ77MY773NS3URT4U","A1VYRD3HO2WDUN","Submitted","Sat Sep 12 13:07:23 PDT 2015","Sat Sep 12 13:13:20 PDT 2015","Tue Sep 15 13:13:20 PDT 2015","","","","357","100% (820/820)","100% (144/144)","100% (144/144)","https://www.pinterest.com/annett07/health/","https://s-media-cache-ak0.pinimg.com/avatars/annett07_1357703371_30.jpg","38","https://s-media-cache-ak0.pinimg.com/236x/26/07/ac/2607ac3b07b5375a56fedde2da09013c.jpg","168603579775043267","141","1","Male","60","Asian","","{}","{}","{}","","","Health|Infographic|Physical fitness / Sport|Workout plan/instructions|Beauty / physical appearance","","","Artificial","{}","{}","text, wall, bench","","","Other","{}","{}","THE MORNING WORKOUT
25 push-ups
30 crunches 
50 seconds wall sit
10 tricep dips
45 seconds plank
30 lunges - each leg
15 squats
do the routine 3 times!","","","Very much","","Very much","","Somewhat","","","","2 or more","","No","","No","11 or more","No","No","","","","No","","","","Don't know","","Mixed","","","Neither happy nor sad",""
"3WKGUBL7SZM7EFT88BREWSHRV6K4L6","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3TEM0PF1Q5XA4ZL92VBQQWFTJOND0Z","A3KOVCQYR8K3HY","Approved","Wed Sep 09 10:10:28 PDT 2015","Wed Sep 09 10:14:30 PDT 2015","Sat Sep 12 10:14:30 PDT 2015","2015-09-12 17:18:12 UTC","","","242","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/cb810/health/","https://s-media-cache-ak0.pinimg.com/avatars/cb810_1397235097_30.jpg","22","https://s-media-cache-ak0.pinimg.com/236x/d6/51/d6/d651d6b46487aff2322dc3af7a71308b.jpg","137078382382215245","76","1","Female","47","White / Non-Hispanic","","{}","{}","{}","Health|Disease / Illness|Infographic","","","Don't know","","","words","{}","{}","Other","","","The Top 3 Times I Needed a Healthcare Clinic","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3W3RSPVVGSR6VDNNNHIW9WFLUJ7LU9","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3YT88D1N08YEZXQGDZFWW78Q6HEK34","A3KOVCQYR8K3HY","Submitted","Sat Sep 12 17:56:43 PDT 2015","Sat Sep 12 17:59:15 PDT 2015","Tue Sep 15 17:59:15 PDT 2015","","","","152","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/erikafett/health/","https://s-media-cache-ak0.pinimg.com/avatars/erikafett-1395155102_30.jpg","48","https://s-media-cache-ak0.pinimg.com/236x/9b/ce/92/9bce924f7870e1bc1116b7656bdf71a1.jpg","185914290842854267","182","1","Female","47","White / Non-Hispanic","","{}","{}","{}","Health|Infographic|Mental health|Emotional wellbeing|Beauty / physical appearance","","","Don't know","","","chart/music","{}","{}","Other","","","The Ultimate Workout Playlist","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3P0I4CQYVY7RT2FPV9DPJ14CA4NWO0","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3VHP9MDGRNKRWBUL5HZ09XKF4Q0FC5","A3KOVCQYR8K3HY","Approved","Wed Sep 09 10:07:43 PDT 2015","Wed Sep 09 10:10:17 PDT 2015","Sat Sep 12 10:10:17 PDT 2015","2015-09-12 17:13:11 UTC","","","154","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/pinterestgall/health/","https://s-media-cache-ak0.pinimg.com/avatars/Pinterestgall-1423005994_30.jpg","5","https://s-media-cache-ak0.pinimg.com/236x/89/d7/34/89d7348e170761104ec3cdda85f43be1.jpg","518547344569577300","20","1","Female","47","White / Non-Hispanic","","life","{}","{}","Mental health|Emotional wellbeing|Other","","","Don't know","","","words/texts","{}","{}","Other","","","Life Hacks","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3RTFSSG7T86JNHCSIHXXRK0IFZILW8","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3L2IS5HSFAIZ6XO2PW3DB8FUDQQUNG","A3KOVCQYR8K3HY","Submitted","Sun Sep 13 12:36:49 PDT 2015","Sun Sep 13 12:39:53 PDT 2015","Wed Sep 16 12:39:53 PDT 2015","","","","184","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/gabbymz21/health/","https://s-media-cache-ak0.pinimg.com/avatars/gabbymz21_1348715300_30.jpg","11","https://s-media-cache-ak0.pinimg.com/236x/f0/7e/ad/f07ead3a1302698426e40d0695ea87ec.jpg","514325219920109348","33","1","Female","47","White / Non-Hispanic","","{}","{}","{}","Health|Food / drink","","","Don't know","","","{}","{}","{}","Food/Drink","","","Smoothies","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"30ZKOOGW2W69QX5LO2JMPGUDPABA1H","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3JRJSWSMQHLBDXY6HD4TYCVLMC5E3L","A3KOVCQYR8K3HY","Approved","Wed Sep 09 08:58:16 PDT 2015","Wed Sep 09 09:16:45 PDT 2015","Sat Sep 12 09:16:45 PDT 2015","2015-09-12 16:18:09 UTC","","","1109","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/pinterestgall/health/","https://s-media-cache-ak0.pinimg.com/avatars/Pinterestgall-1423005994_30.jpg","5","https://s-media-cache-ak0.pinimg.com/236x/41/4f/28/414f28ab776383636bbbab2f674bd6dc.jpg","495325658990850000","19","1","Female","47","White / Non-Hispanic","","life/wisdom","{}","{}","Infographic|Mental health|Emotional wellbeing|Other","","","Don't know","","","words","{}","{}","Other","","","Life Hacks  with additional text","{}","{}","","","","","","","","","0","0","","","","","","","","","","","No","","","","","","","","","","",""
"33J5JKFMK6YXNGQH02UR39OFRCA3Q8","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","30OG32W0SUBIH1RGZWO87QTRR0QNEI","A1VYRD3HO2WDUN","Submitted","Sat Sep 12 08:25:28 PDT 2015","Sat Sep 12 08:36:08 PDT 2015","Tue Sep 15 08:36:08 PDT 2015","","","","640","100% (820/820)","100% (144/144)","100% (144/144)","https://www.pinterest.com/kimba1073/health/","NA","35","https://s-media-cache-ak0.pinimg.com/236x/16/32/92/16329272f0eb04406ebfaf7dc433872f.jpg","226305950002429000","127","1","Male","60","Asian","","{}","{}","{}","Health|Infographic|Food / drink|Detoxing|Beauty / physical appearance","","","Artificial","","","{}","{}","{}","Food/Drink","","","5 DETOX WATER TO CLEANSE YOUR LIVER
Strawberry Spa Water  Ingredients Strawberry, Water, Ice
Apple Cinnamon Detox Water  Ingredients Apple, cinnamon, Ice, Water
Natural Belly Slimming Detox Water  Ingredients Cucumber, Lemon, Mint, Ice, Water
Jillian Michaels' Detox Waterr  Ingredients Cranberry Juice, Lemon, Dandelion Tea, Water
Flat Belly Detox Waterr  Ingredients Watermelon, Mint, Water
HealthRelieve
Healthy Living Made Easy","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3L2OEKSTW9ASXFN93T6H7CZS67IY8X","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3QIYRE09Y3HJX0X4N8TT06AX2FFN14","A5V3ZMQI0PU3F","Approved","Sun Sep 06 12:26:49 PDT 2015","Sun Sep 06 12:32:50 PDT 2015","Wed Sep 09 12:32:50 PDT 2015","2015-09-09 19:33:10 UTC","","","361","100% (46/46)","100% (21/21)","100% (21/21)","https://www.pinterest.com/soniurnezis/health/","https://s-media-cache-ak0.pinimg.com/avatars/soniurnezis-1405826722_30.jpg","42","https://s-media-cache-ak0.pinimg.com/236x/a0/84/97/a084977fbbb7d05292b3b88adc92799f.jpg","265782815484696349","158","1","Female","52","Black / Non-Hispanic","B","{}","{}","{}","","Physical fitness / Sport|Fitness equipment","","","Artificial","","{}","{}","{}","","","","{}","Define your upper body with a resistance band.","{}","Somewhat healthy","Somewhat","","Very much","","Somewhat","","Not at all","","1","","No","","No","","","","","Somewhat","Not at all","Yes","","Head|Face|Upper torso (front)|Upper torso (back)|Stomach|Upper arm|Lower arm|Hand|Hip|Upper leg|Lower leg|Foot","Stomach|Upper arm|Lower arm|Upper leg|Lower leg","White / Non-Hispanic","","Female","","30 to 49","Happy","","In-shape/athletic"
"3H6W48L9F4P9E2RQA9Q48192K9JWPH","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3HHRAGRYX85J4Q0BS08ZU1SLQ1CO9X","A5V3ZMQI0PU3F","Approved","Sun Sep 06 14:29:59 PDT 2015","Sun Sep 06 15:39:51 PDT 2015","Wed Sep 09 15:39:51 PDT 2015","2015-09-09 22:43:08 UTC","","","4192","100% (46/46)","100% (21/21)","100% (21/21)","https://www.pinterest.com/artchic07/health/","https://s-media-cache-ak0.pinimg.com/avatars/artchic07_1331347032_30.jpg","18","https://s-media-cache-ak0.pinimg.com/236x/82/cf/98/82cf9897d5f74b36e87ddc0c05c8b9d9.jpg","541135711448940594","64","1","Female","52","Black / Non-Hispanic","","{}","{}","{}","Infographic|Emotional wellbeing","","","Don't know","","","text, images of stones","{}","{}","Other","","","Energy Effect Chakra Stone","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
"3XBYQ44Z6P476UKXRQZODBAZ9C4TWJ","31IV7WI13BM7ETN1ON07U8NS0WV5HE","Describe an image","Please describe the content of one image","Image, description, Pinterest, health, picture","$0.20","Sun Sep 06 06:40:13 PDT 2015","1","BatchId:2081417;","86400","259200","Wed Oct 07 06:40:13 PDT 2015","","","3TYCR1GOTCJQ4WFRJ6M6F8QKA4DLZK","A3KOVCQYR8K3HY","Approved","Wed Sep 09 12:15:01 PDT 2015","Wed Sep 09 12:17:09 PDT 2015","Sat Sep 12 12:17:09 PDT 2015","2015-09-12 19:18:08 UTC","","","128","100% (166/166)","100% (138/138)","100% (138/138)","https://www.pinterest.com/kimsroom2/health/","https://s-media-cache-ak0.pinimg.com/avatars/broekeragraviad_1414177772_30.jpg","44","https://s-media-cache-ak0.pinimg.com/236x/2e/c8/0d/2ec80dbbbace5ad94ac2cea763321f2f.jpg","183521753541249025","169","1","Female","42","White / Non-Hispanic","","{}","{}","{}","Health|Disease / Illness|Medicine|Detoxing|Nutritional supplements / Herbs|Mental health|Emotional wellbeing|Beauty / physical appearance","","","Don't know","","","oil","{}","{}","Food/Drink|Other","","","Benefits Coconut Oil","{}","{}","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","",""
